epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5193.93,0.47381,2.37905,0.00711,0.7275,0.83166,0.85016,0.75178,0.44921,0.69013,0.01043,0.00936299,0.003121,0.00936299,0.003121,0.00936299,0.003121,0.00936299,0.003121
2,10377.8,0.49623,1.55762,0.00764,0.77921,0.86049,0.86477,0.73883,0.52635,0.70445,0.01315,0.018614,0.00620466,0.018614,0.00620466,0.018614,0.00620466,0.018614,0.00620466
3,15296.5,0.53501,1.60924,0.00837,0.75121,0.80961,0.84273,0.72309,0.52508,0.79382,0.01264,0.0277416,0.00924721,0.0277416,0.00924721,0.0277416,0.00924721,0.0277416,0.00924721
4,19506.5,0.54398,1.59874,0.00853,0.74202,0.82406,0.84901,0.74148,0.48854,0.80518,0.01173,0.0294078,0.00980261,0.0294078,0.00980261,0.0294078,0.00980261,0.0294078,0.00980261
5,23082.6,0.54543,1.5806,0.00858,0.74684,0.7845,0.84521,0.709,0.53977,0.78615,0.01363,0.0292104,0.00973681,0.0292104,0.00973681,0.0292104,0.00973681,0.0292104,0.00973681
6,26839.3,0.544,1.56256,0.0085,0.7568,0.80858,0.85395,0.70663,0.55583,0.73899,0.01442,0.029013,0.00967101,0.029013,0.00967101,0.029013,0.00967101,0.029013,0.00967101
7,31082.3,0.5365,1.51695,0.00832,0.7581,0.84598,0.86534,0.71207,0.58623,0.70622,0.01495,0.0288156,0.00960521,0.0288156,0.00960521,0.0288156,0.00960521,0.0288156,0.00960521
8,35176.5,0.53292,1.50031,0.00828,0.7532,0.8458,0.89515,0.76521,0.50279,0.66258,0.012,0.0286182,0.00953941,0.0286182,0.00953941,0.0286182,0.00953941,0.0286182,0.00953941
9,38958.3,0.52567,1.4711,0.00812,0.71023,0.86947,0.86529,0.75004,0.49102,0.69268,0.0118,0.0284208,0.00947362,0.0284208,0.00947362,0.0284208,0.00947362,0.0284208,0.00947362
10,43724.9,0.53014,1.44156,0.00821,0.796,0.83911,0.86613,0.72192,0.56597,0.7087,0.01466,0.0282235,0.00940782,0.0282235,0.00940782,0.0282235,0.00940782,0.0282235,0.00940782
11,48157.2,0.52756,1.42909,0.0082,0.76019,0.86281,0.87122,0.75357,0.51152,0.63613,0.01253,0.0280261,0.00934202,0.0280261,0.00934202,0.0280261,0.00934202,0.0280261,0.00934202
