epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.046,0.70438,6.51385,0.01073,0.58874,0.05337,0.05232,0.0451,0.60108,3.35401,0.01493,7.54461e-05,7.54461e-05,7.54461e-05
2,190.659,0.68918,5.27489,0.01034,0.34541,0.26451,0.20544,0.17831,0.66873,2.40501,0.01835,0.000149617,0.000149617,0.000149617
3,272.107,0.70919,4.25329,0.01034,0.30945,0.44292,0.355,0.30838,0.62023,1.88507,0.01598,0.000222289,0.000222289,0.000222289
4,352.739,0.69163,3.57107,0.01002,0.35128,0.53654,0.43591,0.3818,0.63451,1.57822,0.01606,0.000220258,0.000220258,0.000220258
5,433.465,0.69064,3.05134,0.00992,0.44402,0.56117,0.51819,0.44984,0.63149,1.39022,0.01635,0.000218011,0.000218011,0.000218011
6,514.072,0.68515,2.63655,0.00959,0.47943,0.59977,0.56316,0.49319,0.62003,1.27898,0.01571,0.000215763,0.000215763,0.000215763
7,594.457,0.67715,2.32241,0.0095,0.51363,0.62788,0.60239,0.52873,0.60803,1.19985,0.01559,0.000213516,0.000213516,0.000213516
8,675.487,0.66272,2.07119,0.00942,0.55297,0.67471,0.64352,0.55877,0.61783,1.12232,0.01627,0.000211269,0.000211269,0.000211269
9,756.324,0.65849,1.84484,0.00924,0.62976,0.69114,0.69231,0.61064,0.58522,0.99995,0.01491,0.000209022,0.000209022,0.000209022
10,837.409,0.65285,1.70386,0.00925,0.64078,0.70378,0.72191,0.63513,0.58709,0.94553,0.01511,0.000206774,0.000206774,0.000206774
11,917.928,0.67006,1.56702,0.00944,0.66014,0.69568,0.74584,0.65164,0.60711,0.91455,0.01554,0.000204527,0.000204527,0.000204527
12,998.547,0.64831,1.47575,0.00943,0.65518,0.74668,0.75595,0.66385,0.58029,0.88279,0.01489,0.00020228,0.00020228,0.00020228
