                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.065567,               0.055323,               0.031637,               0.053374,                0.13542,                0.63251,                0.15742,               0.081117,                0.13745,                0.62585,                0.15789,                0.10896,               0.036546,               0.019442,               0.014272,               0.048164,               0.070072,              0.0033253,              0.0033253
                      1,               0.046122,               0.024512,               0.024581,               0.049567,                0.25853,                0.62834,                0.31175,                0.21118,                0.25827,                0.62757,                0.31008,                0.24796,               0.027149,               0.015798,               0.012145,                0.04433,               0.040006,              0.0065927,              0.0065927
                      2,               0.041005,               0.022488,                0.02318,               0.044964,                0.32131,                0.73234,                0.40678,                0.30632,                0.32094,                0.72668,                0.40225,                0.33956,               0.023589,               0.016118,               0.011617,               0.040792,              0.0098743,              0.0097941,              0.0097941
                      3,               0.036312,               0.022752,               0.022734,               0.040493,                0.48999,                0.72061,                0.60351,                0.44013,                0.48965,                0.72006,                0.59968,                0.48859,               0.024648,               0.016141,               0.011228,                0.03312,               0.009703,               0.009703,               0.009703
                      4,               0.034082,               0.021748,               0.021986,               0.033799,                0.80847,                0.78477,                0.87007,                0.68073,                0.80901,                0.78226,                0.86529,                0.73323,               0.021882,               0.014762,               0.011006,               0.021954,               0.009703,               0.009703,               0.009703
                      5,               0.032078,               0.020667,               0.021093,                0.02625,                0.88552,                0.82091,                0.91082,                0.73924,                0.88944,                0.81772,                0.90662,                0.78682,               0.020465,               0.014288,               0.010561,               0.017049,               0.009604,               0.009604,               0.009604
                      6,               0.031013,               0.020355,               0.020632,                0.02282,                0.92188,                0.85255,                0.93557,                0.75703,                0.92188,                0.85255,                0.92715,                0.80548,               0.020766,               0.013881,               0.010424,                 0.0135,               0.009505,               0.009505,               0.009505
                      7,               0.029705,               0.020012,                0.02029,               0.020647,                 0.9325,                0.86096,                0.94433,                0.77276,                0.93232,                0.85997,                0.93853,                0.83385,               0.020255,               0.013799,               0.010406,               0.012517,               0.009406,               0.009406,               0.009406
                      8,               0.028855,               0.019577,               0.019817,               0.018846,                0.93897,                0.88735,                0.95527,                0.80733,                0.93888,                0.88645,                0.95003,                0.85172,               0.018771,               0.013263,              0.0098384,               0.010279,               0.009307,               0.009307,               0.009307
                      9,               0.028276,               0.019144,               0.019664,               0.017704,                0.95261,                0.88636,                0.96147,                0.81688,                0.95153,                0.88477,                0.95512,                0.85423,               0.018496,               0.013128,              0.0096342,               0.010162,               0.009208,               0.009208,               0.009208
                     10,               0.027725,               0.018999,               0.019381,               0.017028,                0.95527,                0.90579,                  0.965,                0.82277,                0.95501,                0.90558,                0.95882,                 0.8524,               0.017617,               0.013475,              0.0094762,              0.0091229,               0.009109,               0.009109,               0.009109
                     11,               0.027082,               0.018479,               0.018737,               0.016072,                0.94414,                0.89325,                0.96073,                0.81748,                0.95207,                0.88579,                0.95497,                0.84215,               0.017681,               0.013112,              0.0092327,               0.010302,                0.00901,                0.00901,                0.00901
                     12,                0.02687,               0.018475,               0.018714,               0.015757,                 0.9591,                0.91359,                0.96961,                 0.8412,                0.95881,                0.91274,                0.96378,                0.86591,               0.016986,               0.012591,              0.0090815,              0.0087173,               0.008911,               0.008911,               0.008911
                     13,               0.026024,               0.017767,               0.018212,               0.014853,                0.97029,                0.93547,                0.97631,                0.84303,                0.97118,                0.93377,                0.96939,                0.86447,               0.016819,               0.012224,              0.0089992,              0.0068464,               0.008812,               0.008812,               0.008812
                     14,               0.025238,               0.017779,               0.017962,               0.014479,                0.96992,                0.93457,                0.97623,                0.84861,                 0.9701,                0.92892,                0.97171,                0.87107,               0.016861,               0.012541,              0.0089864,              0.0070328,               0.008713,               0.008713,               0.008713
                     15,               0.025259,               0.017609,               0.017966,               0.014207,                0.97736,                0.93846,                0.98017,                0.85638,                0.97917,                0.93798,                0.97393,                0.87825,               0.016177,               0.012155,               0.008772,              0.0066678,               0.008614,               0.008614,               0.008614
                     16,               0.024728,               0.017193,               0.017675,               0.013626,                0.98247,                0.93146,                0.98126,                0.86516,                0.98247,                0.93146,                0.97379,                0.87991,               0.015821,               0.012082,               0.008575,              0.0065713,               0.008515,               0.008515,               0.008515
                     17,               0.024411,               0.017208,               0.017528,               0.013394,                 0.9727,                0.93961,                0.97965,                0.86406,                0.97707,                0.93572,                0.97327,                 0.8803,               0.015631,               0.011753,              0.0084565,              0.0062711,               0.008416,               0.008416,               0.008416
                     18,               0.024142,               0.016887,               0.017284,                0.01304,                 0.9799,                0.94242,                0.98032,                0.86776,                0.98002,                0.94217,                 0.9765,                0.88486,               0.015547,               0.011709,              0.0085189,              0.0060634,               0.008317,               0.008317,               0.008317
                     19,               0.023849,               0.017004,               0.017226,               0.012616,                0.98231,                0.94596,                0.98334,                 0.8656,                0.98388,                0.94455,                0.97813,                0.88685,                0.01586,               0.011867,              0.0085325,              0.0057506,               0.008218,               0.008218,               0.008218
                     20,               0.023327,               0.016688,               0.016978,               0.012295,                0.98368,                  0.955,                0.98605,                0.87957,                0.98755,                0.95067,                0.98303,                0.88758,               0.015124,               0.011477,              0.0081534,              0.0053794,               0.008119,               0.008119,               0.008119
                     21,               0.023349,               0.016553,               0.016836,               0.012233,                0.97722,                0.93141,                0.98005,                0.87733,                0.97724,                0.93101,                0.97431,                 0.8905,               0.015086,               0.011623,              0.0082193,              0.0064475,                0.00802,                0.00802,                0.00802
                     22,               0.022906,               0.016343,               0.016488,               0.011796,                0.98026,                0.93761,                0.98189,                0.87797,                0.98055,                0.93679,                0.97623,                0.88407,               0.015005,               0.011491,              0.0081491,              0.0057491,               0.007921,               0.007921,               0.007921
                     23,                0.02279,               0.016211,               0.016573,               0.011684,                0.97892,                0.94993,                0.98346,                0.87677,                0.98301,                0.94264,                0.97736,                0.88639,               0.014847,                0.01146,               0.008126,              0.0056956,               0.007822,               0.007822,               0.007822
                     24,               0.022428,               0.016112,               0.016309,               0.011569,                 0.9789,                0.94417,                 0.9836,                0.88258,                0.98159,                0.94202,                0.97926,                 0.8873,               0.014817,               0.011412,              0.0081099,              0.0054824,               0.007723,               0.007723,               0.007723
                     25,               0.022423,               0.015963,               0.016288,                0.01107,                0.97991,                0.94845,                0.98523,                 0.8858,                0.98404,                0.94125,                0.97986,                0.89616,               0.014766,               0.011382,              0.0079507,              0.0054671,               0.007624,               0.007624,               0.007624
                     26,               0.021904,               0.015869,               0.015848,               0.010846,                0.97697,                0.95348,                0.98706,                0.89481,                0.98297,                0.94737,                0.98248,                0.89886,                0.01436,               0.011105,              0.0077682,              0.0050275,               0.007525,               0.007525,               0.007525
                     27,                0.02208,               0.015801,               0.015927,               0.010943,                0.98043,                0.95872,                0.98759,                0.88884,                0.98591,                 0.9483,                0.98161,                 0.8883,                0.01445,               0.011369,              0.0079246,              0.0051843,               0.007426,               0.007426,               0.007426
                     28,               0.021934,               0.016027,               0.015988,               0.010662,                0.98694,                0.95856,                0.98744,                0.89612,                0.98789,                0.95655,                0.98319,                0.90024,               0.014035,               0.011068,              0.0077146,               0.004614,               0.007327,               0.007327,               0.007327
                     29,                0.02176,               0.015889,                0.01587,                0.01061,                0.97966,                0.96045,                0.98805,                0.89668,                  0.985,                0.95069,                0.98369,                0.90423,               0.014179,               0.011014,              0.0077423,              0.0046168,               0.007228,               0.007228,               0.007228
                     30,               0.021663,               0.015817,               0.015849,               0.010406,                0.98629,                0.95775,                0.98839,                0.89646,                0.98701,                 0.9536,                0.98459,                0.90359,               0.014214,               0.011118,              0.0077209,              0.0047208,               0.007129,               0.007129,               0.007129
                     31,               0.021191,               0.015515,               0.015378,               0.010197,                0.98432,                0.95921,                0.98815,                0.90105,                0.98594,                0.95636,                0.98403,                0.90217,                0.01404,               0.011195,              0.0077105,              0.0046195,                0.00703,                0.00703,                0.00703
                     32,               0.021201,               0.015531,               0.015423,                0.01017,                0.98419,                0.96198,                 0.9893,                0.90178,                0.98713,                0.95578,                0.98419,                0.90228,               0.013855,               0.010904,              0.0075943,               0.004498,               0.006931,               0.006931,               0.006931
                     33,               0.020981,                0.01537,                0.01529,               0.010156,                0.98752,                0.95398,                0.98885,                0.90369,                0.98928,                0.95179,                0.98516,                0.90209,               0.013719,               0.010749,              0.0074386,              0.0044078,               0.006832,               0.006832,               0.006832
                     34,               0.020832,               0.015439,               0.015243,               0.010012,                0.98711,                0.95764,                0.98792,                0.90386,                0.98713,                0.95596,                0.98438,                0.90174,               0.013727,               0.010892,              0.0075657,              0.0045628,               0.006733,               0.006733,               0.006733
                     35,               0.020825,               0.015284,               0.015158,              0.0096393,                0.98541,                0.96409,                0.98942,                0.90784,                0.98835,                0.95736,                0.98514,                0.90794,               0.013586,               0.010793,              0.0075057,              0.0042687,               0.006634,               0.006634,               0.006634
                     36,               0.020718,               0.015221,               0.015082,               0.009695,                0.98048,                 0.9645,                0.98909,                0.90979,                0.98139,                0.95736,                0.98537,                0.90655,               0.013495,               0.010703,              0.0074525,              0.0045407,               0.006535,               0.006535,               0.006535
