epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,383.801,0.51774,0.87682,2.10712,0.00566,2.94941,0.82409,0.79966,0.86955,0.81663,0.82525,0.7993,0.86505,0.82693,0.39486,0.51532,0.64525,0.0085,0,0.00997596,0.00332532,0.00997596,0.00332532,0.00997596,0.00332532,0.00997596,0.00332532
2,718.713,0.50666,0.63491,0.88158,0.00567,1.30151,0.86126,0.83438,0.91836,0.84602,0.86119,0.8347,0.9141,0.86707,0.4549,0.5093,0.54967,0.0103,0,0.0197782,0.00659273,0.0197782,0.00659273,0.0197782,0.00659273,0.0197782,0.00659273
3,1039.71,0.59183,0.68854,0.88144,0.00692,1.26959,0.82743,0.7534,0.87293,0.7633,0.82831,0.75382,0.87026,0.80041,0.60597,0.6229,0.73237,0.01448,0,0.0293824,0.00979415,0.0293824,0.00979415,0.0293824,0.00979415,0.0293824,0.00979415
4,1355.48,0.64522,0.72592,0.90221,0.00757,1.30306,0.87442,0.81271,0.90288,0.79648,0.87917,0.80984,0.90014,0.8441,0.59322,0.62987,0.61369,0.01395,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1670.32,0.64163,0.69802,0.82466,0.00764,1.15999,0.87638,0.83327,0.91301,0.81263,0.87752,0.83388,0.9119,0.84874,0.55471,0.58359,0.56568,0.01302,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1985.04,0.63056,0.67201,0.75313,0.00749,1.02958,0.91782,0.87666,0.9481,0.84848,0.92822,0.86772,0.94519,0.88874,0.53644,0.51719,0.44317,0.01236,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2304.39,0.61663,0.64397,0.69972,0.00707,0.94642,0.92057,0.88733,0.9597,0.86876,0.92262,0.88243,0.9546,0.90577,0.5002,0.49107,0.39506,0.01153,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2622.27,0.59393,0.62881,0.66509,0.00685,0.86743,0.93255,0.90686,0.96694,0.88259,0.93774,0.8999,0.96361,0.91122,0.4784,0.47951,0.36599,0.01121,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2940.29,0.59143,0.62544,0.6558,0.00682,0.83867,0.92348,0.90596,0.96264,0.87958,0.92374,0.90303,0.9596,0.90769,0.4715,0.45668,0.37708,0.01092,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3257.69,0.5745,0.60573,0.62584,0.00652,0.78265,0.95141,0.91756,0.9737,0.89239,0.95123,0.9141,0.96956,0.92072,0.46556,0.47121,0.32543,0.01059,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3574.42,0.57115,0.60077,0.60776,0.0065,0.76268,0.95027,0.91142,0.97283,0.89274,0.95,0.90968,0.96893,0.92347,0.45571,0.43634,0.32616,0.01057,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3888.77,0.5675,0.58831,0.58209,0.00644,0.72357,0.93256,0.90446,0.96435,0.88824,0.93251,0.90443,0.96188,0.91463,0.44881,0.46093,0.35833,0.01031,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4203.85,0.55689,0.57264,0.56096,0.00634,0.68511,0.94983,0.92752,0.97963,0.90905,0.95503,0.92346,0.97672,0.93161,0.42724,0.4268,0.28475,0.00978,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4519.84,0.54907,0.56499,0.56194,0.00623,0.67427,0.95378,0.93169,0.98176,0.90592,0.95293,0.93041,0.97827,0.93652,0.44318,0.42506,0.27396,0.0103,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4835.56,0.54261,0.55956,0.53511,0.00605,0.64584,0.96191,0.93355,0.98266,0.91484,0.96236,0.93147,0.97941,0.93122,0.40699,0.42403,0.26261,0.00921,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5149.99,0.53885,0.55395,0.52443,0.006,0.61857,0.96525,0.93107,0.98311,0.91525,0.96661,0.93125,0.98088,0.93644,0.42567,0.4173,0.25919,0.00991,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5463.71,0.52935,0.54284,0.50613,0.00594,0.58836,0.97005,0.93733,0.98546,0.92269,0.9707,0.93723,0.98292,0.93966,0.40854,0.4212,0.24049,0.00922,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5779.02,0.52289,0.54128,0.50234,0.00582,0.57814,0.97304,0.93875,0.98661,0.92413,0.97288,0.93943,0.98528,0.94159,0.40093,0.40943,0.23112,0.00909,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6094.26,0.51591,0.52829,0.4936,0.00569,0.55582,0.97888,0.93688,0.98757,0.92905,0.98058,0.93599,0.98223,0.94315,0.39405,0.42352,0.22212,0.00876,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6409.72,0.51636,0.53828,0.48596,0.00573,0.55785,0.96454,0.9393,0.98597,0.93052,0.9641,0.93886,0.98424,0.94755,0.38038,0.40259,0.23851,0.00862,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6726.52,0.51156,0.52834,0.46757,0.00562,0.52411,0.97827,0.93409,0.98761,0.93111,0.9783,0.93412,0.9856,0.94563,0.38462,0.39559,0.22977,0.00873,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7042.85,0.51348,0.53353,0.47369,0.00566,0.52882,0.98044,0.94617,0.98775,0.93018,0.98047,0.9462,0.98548,0.94839,0.38922,0.41047,0.22105,0.00882,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7359.28,0.50236,0.52307,0.46015,0.00552,0.50324,0.96437,0.95825,0.98869,0.93611,0.97135,0.95014,0.98655,0.94857,0.37415,0.39767,0.20948,0.00845,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7673.92,0.49522,0.51413,0.45826,0.00541,0.50726,0.95922,0.94096,0.98627,0.9368,0.96037,0.93945,0.98405,0.94845,0.36706,0.39129,0.23336,0.00829,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
