epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.953,0.76866,6.77652,0.01349,0.43538,0.17286,0.15363,0.12455,0.74398,2.12232,0.01531,0.000206998,0.000206998,0.000206998
2,222.202,0.79519,5.06482,0.01375,0.37095,0.40641,0.32065,0.2509,0.79,1.68373,0.01717,0.000411219,0.000411219,0.000411219
3,328.142,0.81551,3.87852,0.01458,0.53081,0.4869,0.45699,0.37388,0.72854,1.35869,0.01547,0.000611316,0.000611316,0.000611316
4,427.873,0.82255,2.98005,0.01459,0.63494,0.51152,0.55999,0.44807,0.80622,1.19701,0.01706,0.000606437,0.000606437,0.000606437
5,528.331,0.81515,2.27566,0.01462,0.58565,0.57393,0.57604,0.46507,0.6986,1.15152,0.01465,0.00060025,0.00060025,0.00060025
6,629.288,0.76883,1.84095,0.01343,0.6939,0.55395,0.62108,0.48396,0.73042,1.01096,0.01637,0.000594062,0.000594062,0.000594062
7,731.328,0.78757,1.61131,0.01347,0.67521,0.6315,0.64412,0.5267,0.71894,0.93028,0.01537,0.000587875,0.000587875,0.000587875
8,839.296,0.76506,1.37752,0.01365,0.70465,0.70714,0.72956,0.58955,0.69983,0.8074,0.01547,0.000581687,0.000581687,0.000581687
9,946.523,0.73866,1.24236,0.01295,0.74873,0.72761,0.75092,0.62317,0.66536,0.84684,0.01414,0.0005755,0.0005755,0.0005755
10,1054.74,0.75114,1.17001,0.01312,0.76771,0.70187,0.76258,0.63552,0.68436,0.73999,0.0145,0.000569313,0.000569313,0.000569313
11,1169.12,0.74591,1.08801,0.01309,0.84127,0.70746,0.78531,0.65898,0.66476,0.70344,0.01375,0.000563125,0.000563125,0.000563125
12,1293.93,0.72854,0.99647,0.01268,0.80327,0.7043,0.76642,0.63532,0.66758,0.76419,0.01442,0.000556938,0.000556938,0.000556938
13,1421.67,0.7199,0.94985,0.01248,0.80938,0.75088,0.79796,0.66566,0.66363,0.6387,0.01385,0.00055075,0.00055075,0.00055075
14,1550.08,0.73775,0.92464,0.01289,0.81915,0.75163,0.81348,0.68765,0.6459,0.72032,0.01353,0.000544563,0.000544563,0.000544563
15,1674.72,0.72374,0.86895,0.01249,0.83892,0.80508,0.82186,0.68659,0.6441,0.54456,0.01376,0.000538375,0.000538375,0.000538375
16,1791.43,0.71469,0.85007,0.01222,0.82905,0.79063,0.81896,0.68337,0.65943,0.63865,0.01378,0.000532187,0.000532187,0.000532187
17,1908.44,0.72948,0.8177,0.01251,0.85283,0.74113,0.81716,0.69065,0.66064,0.52359,0.01395,0.000526,0.000526,0.000526
18,2019.2,0.71001,0.78417,0.01225,0.89435,0.78954,0.85731,0.74138,0.61002,0.46698,0.0126,0.000519812,0.000519812,0.000519812
19,2130.57,0.70202,0.74966,0.01205,0.87348,0.80952,0.83938,0.71892,0.61953,0.52105,0.01265,0.000513625,0.000513625,0.000513625
20,2240.85,0.70102,0.75521,0.01186,0.85722,0.8131,0.8468,0.69812,0.66276,0.46449,0.01457,0.000507438,0.000507438,0.000507438
21,2347.11,0.69601,0.72766,0.0118,0.84219,0.82589,0.83794,0.71092,0.63324,0.48107,0.0133,0.00050125,0.00050125,0.00050125
22,2459.71,0.69929,0.71922,0.01191,0.8604,0.82126,0.84096,0.71887,0.61771,0.50229,0.01244,0.000495063,0.000495063,0.000495063
23,2572.65,0.69636,0.69101,0.01183,0.88365,0.77056,0.83897,0.71787,0.62054,0.57566,0.01254,0.000488875,0.000488875,0.000488875
24,2682.39,0.68723,0.69013,0.01176,0.9006,0.81685,0.85779,0.7343,0.63691,0.44312,0.01313,0.000482687,0.000482687,0.000482687
25,2787.64,0.67881,0.65362,0.01144,0.91404,0.80375,0.85312,0.71595,0.64213,0.47166,0.01348,0.0004765,0.0004765,0.0004765
26,2893.35,0.68439,0.64714,0.01164,0.9192,0.80245,0.85708,0.74709,0.59926,0.49987,0.01202,0.000470312,0.000470312,0.000470312
27,3001.7,0.67043,0.61943,0.0114,0.89645,0.81549,0.85032,0.73611,0.61493,0.44743,0.01234,0.000464125,0.000464125,0.000464125
28,3109.1,0.66138,0.63005,0.01124,0.86288,0.81208,0.83715,0.72519,0.59752,0.45394,0.01213,0.000457938,0.000457938,0.000457938
