epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2049.68,0.88936,3.49602,0.01501,0.63282,0.54554,0.51255,0.34463,0.81965,1.85847,0.01728,0.00935614,0.00311871,0.00935614,0.00311871,0.00935614,0.00311871,0.00935614,0.00311871
2,4504.12,0.89279,2.03348,0.01577,0.53889,0.5872,0.56571,0.43325,0.68915,1.69205,0.01343,0.0185475,0.0061825,0.0185475,0.0061825,0.0185475,0.0061825,0.0185475,0.0061825
3,6201.98,0.90208,1.88803,0.01599,0.61867,0.62266,0.58687,0.39534,0.7793,1.79689,0.01645,0.0275538,0.0091846,0.0275538,0.0091846,0.0275538,0.0091846,0.0275538,0.0091846
4,7964.7,0.89888,1.71052,0.01599,0.61858,0.65004,0.62992,0.44779,0.77065,1.52763,0.01574,0.0291117,0.00970391,0.0291117,0.00970391,0.0291117,0.00970391,0.0291117,0.00970391
5,9811.16,0.85738,1.55779,0.01484,0.7425,0.64516,0.72134,0.55199,0.67208,1.16438,0.01362,0.0288156,0.00960521,0.0288156,0.00960521,0.0288156,0.00960521,0.0288156,0.00960521
6,12127.3,0.844,1.41226,0.01455,0.8078,0.67454,0.7541,0.56101,0.72181,1.21679,0.01478,0.0285195,0.00950652,0.0285195,0.00950652,0.0285195,0.00950652,0.0285195,0.00950652
7,13924.6,0.81102,1.35737,0.01394,0.79906,0.711,0.77032,0.59365,0.63369,0.97305,0.01276,0.0282235,0.00940782,0.0282235,0.00940782,0.0282235,0.00940782,0.0282235,0.00940782
8,15897.4,0.79154,1.28295,0.0134,0.86523,0.74686,0.82532,0.6539,0.62424,0.93026,0.0123,0.0279274,0.00930912,0.0279274,0.00930912,0.0279274,0.00930912,0.0279274,0.00930912
9,17781.8,0.78061,1.23542,0.01332,0.7991,0.74911,0.78268,0.60554,0.64264,1.03002,0.01286,0.0276313,0.00921042,0.0276313,0.00921042,0.0276313,0.00921042,0.0276313,0.00921042
10,20077.4,0.75858,1.1916,0.01283,0.84632,0.75357,0.81063,0.64779,0.61304,0.76446,0.01199,0.0273352,0.00911173,0.0273352,0.00911173,0.0273352,0.00911173,0.0273352,0.00911173
11,21655.5,0.75054,1.08698,0.01252,0.87821,0.7552,0.83538,0.67418,0.59922,0.85288,0.01132,0.0270391,0.00901303,0.0270391,0.00901303,0.0270391,0.00901303,0.0270391,0.00901303
12,23317.6,0.74036,1.08492,0.01243,0.84054,0.77324,0.82111,0.65533,0.63156,0.7682,0.01225,0.026743,0.00891433,0.026743,0.00891433,0.026743,0.00891433,0.026743,0.00891433
13,24796.3,0.732,1.07249,0.01229,0.84241,0.82802,0.84436,0.68939,0.57149,0.63353,0.01098,0.0264469,0.00881564,0.0264469,0.00881564,0.0264469,0.00881564,0.0264469,0.00881564
14,26624.9,0.72986,1.03923,0.01213,0.79845,0.81108,0.84672,0.69347,0.61187,0.69512,0.01153,0.0261508,0.00871694,0.0261508,0.00871694,0.0261508,0.00871694,0.0261508,0.00871694
